(c) Die Bundeswahlleiterin, Wiesbaden 2025;;;;;;;;;;;;;;;;
Datenlizenz Deutschland – Namensnennung – Version 2.0 (https://www.govdata.de/dl-de/by-2-0);;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Ergebnisse nach Wahlkreisen;;;;;;;;;;;;;;;;
Status:;Vorläufig;;;;;;;;;;;;;;;
Stand:;24.02.2025;04:08;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Gebietsart;Gebietsnummer;Gebietsname;UegGebietsart;UegGebietsnummer;Gruppenart;Gruppenname;Gruppenreihenfolge;Stimme;Anzahl;Prozent;VorpAnzahl;VorpProzent;DiffProzent;DiffProzentPkt;Bemerkung;Gewählt
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FREIE WÄHLER;8;1;27571;2,70914;17781;1,936747;55,058771;0,772393;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;FREIE WÄHLER;8;2;10796;1,057162;13344;1,452236;-19,094724;-0,395074;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Volt;9;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;Volt;9;2;6350;0,621802;1904;0,207214;233,508403;0,414589;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;MLPD;10;1;1284;0,126166;1270;0,138331;1,102362;-0,012165;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;MLPD;10;2;847;0,08294;709;0,077161;19,464034;0,005779;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;11;1;6836;0,671709;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BÜNDNIS DEUTSCHLAND;11;2;3331;0,326177;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BSW;12;1;;;;;;;;
BT;23.02.2025;Land;13;Mecklenburg-Vorpommern;BUND;99;Partei;BSW;12;2;107756;10,551641;;;;;;
